관광지명,주소,장애인 화장실,장애인용 엘리베이터,장애인 전용 주차구역,주출입구 단차없음,지하철 접근가능,저상버스 접근가능,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스,수유실,장애인 객실,유모차 대여
유달산 달성공원,전남 목포시,1,0,1,1,0,0,0,0,0,0,0,0
목포 갓바위,전남 목포시,1,0,1,1,0,0,0,0,0,0,0,0
유달산 조각공원,전남 목포시,1,0,0,1,0,0,0,0,0,0,0,0
돌실숯불회관,전남 곡성군,0,0,1,1,0,0,0,0,0,0,0,0
디오션리조트 워터파크,전남 여수시,1,1,1,1,0,0,0,1,0,1,0,0
스카이큐브,전남 순천시,1,1,1,1,0,0,0,1,0,0,0,0
엑스포해양공원,전남 여수시,1,0,1,1,0,0,0,1,0,1,0,0
고흥분청문화박물관,전남 고흥군,1,1,1,1,0,0,0,1,0,1,0,0
고산유물전시관,전남 해남군,1,1,1,1,0,0,0,1,0,0,0,0
더비치 뷔페,전남 여수시,1,1,1,1,0,0,0,0,0,0,0,0
용천사(함평),전남 함평군,1,0,1,1,0,0,0,0,0,0,0,0
순천 낙안읍성,전남 순천시,1,0,1,1,0,0,1,0,0,0,0,1
죽녹원,전남 담양군,1,0,1,1,0,0,0,0,0,0,0,0
증도 우전해수욕장,전남 신안군,0,0,0,1,0,0,0,0,0,0,0,0
두레아트(관광두레 주민사업체),전남 순천시,1,1,1,1,0,0,0,1,0,0,0,0
짚라인곡성,전남 곡성군,0,1,1,0,0,0,0,0,0,0,0,0
해동문화예술촌,전남 담양군,1,0,1,1,0,0,0,0,0,0,0,0
무등산 양떼목장,전남 화순군,0,0,1,1,0,0,0,0,0,0,0,0
가마골생태공원,전남 담양군,1,0,1,1,0,0,0,0,0,0,0,0
정남진리조트,전남 장흥군,0,0,1,1,0,0,0,0,0,0,0,0
수문리조트,전남 장흥군,0,0,1,1,0,0,0,0,0,0,1,0
한국대나무박물관,전남 담양군,1,1,1,1,0,0,1,1,0,0,0,1
장성 황룡 전적,전남 장성군,1,0,1,1,0,0,0,0,0,0,0,0
장보고기념관,전남 완도군,1,1,1,1,0,0,1,0,0,0,0,0
가우도,전남 강진군,1,0,1,0,0,0,0,0,0,0,0,0
완도타워,전남 완도군,1,1,1,1,0,0,1,0,0,0,0,0
보성 비봉리 공룡알화석 산지,전남 보성군,0,0,0,1,0,0,0,0,0,0,0,0
대원사 티벳박물관,전남 보성군,0,0,1,1,0,0,0,0,0,0,0,0
장보고공원,전남 완도군,1,0,0,1,0,0,0,0,0,0,0,0
대한다원,전남 보성군,1,0,1,1,0,0,0,0,0,0,0,0
"몸도 마음도 초록빛으로 물드는 세상, 담양",전남 담양군,0,0,0,0,0,0,0,0,0,0,0,0
한국차문화공원,전남 보성군,1,0,1,1,0,0,0,0,0,0,0,0
한국차박물관,전남 보성군,1,1,1,1,0,0,0,0,0,0,0,0
태백산맥문학관,전남 보성군,1,1,1,1,0,0,0,1,0,0,0,0
보성율포해수풀장,전남 보성군,0,0,1,1,0,0,0,1,0,0,0,0
향일암(여수),전남 여수시,1,0,1,1,0,0,0,0,0,0,0,0
순천만 국가정원,전남 순천시,1,0,1,1,0,0,1,0,0,0,0,0
강진에서 만나는 싱그러운 여름 정취,전남 강진군,0,0,0,0,0,0,0,0,0,0,0,0
나주 금성관,전남 나주시,1,0,1,1,0,0,0,0,0,0,0,0
담양 소쇄원,전남 담양군,1,0,1,0,0,0,0,0,0,0,0,0
한국천연염색박물관,전남 나주시,1,1,1,1,0,0,0,1,0,0,0,0
남열해돋이해수욕장,전남 고흥군,1,0,1,1,0,0,0,0,0,0,0,0
